channel_id,name,niche,subscribers,view_count,video_count,engagement_rate_pct,avg_recent_views,avg_likes,avg_comments,view_to_sub_ratio_pct,videos_sampled,profile_url,custom_url,country,geography_label,published_at,maturity_label,subscriber_label,score_engagement,score_geography,score_niche_fit,score_maturity,score_subscriber,total_score,niche_keyword_hits,status,filter_reason,description,channel_keywords,uploads_playlist_id,thumbnail_url,query_used,fetched_at,classified_at
UC-8iS3HDbVISnNzfj-S76xQ,Traders Bar Stock Market Official,Finance,52200,7487870,2519,14.97,1432,147,43,2.74,8,https://www.youtube.com/channel/UC-8iS3HDbVISnNzfj-S76xQ,@tradersbarofficial,IN,India (IN) — target market,2022-01-10T17:29:03.411443Z,4y 7m old,Core micro band (10k-80k),40.0,20.0,20.0,10.0,10.0,100.0,6,PASS,"Engagement 14.97%, score 100.0/100, 6 niche keyword hits","""SUCCESS WITH TRADERS BAR""

 Email ID -  tradersbarstockmarket@gmail.com

Hello everyone I am Co-Founder & CEO of ""TBSM"" channel  Traders Bar Stock Market Official.
In this channel you will get ""stock market Update "" , ""stock market latest news"" ""stock market in hindi"" etc......

The channel is only for education and knowledge purpose My purpose = protect retail investors and improve awareness among them related to stock market or ETF.

I am not a SEBI registered.
I am just keeping my point of view about stock market and ETF
Hence before taking any decisions consult or discuss with u r financial Advisor.

Thank U:)
","""Traders Bar stock market"" Etf tbsm ipo stock nifty nifty50 bankbees banknifty ""Technical support"" ""intraday trafing"" tbsm ""desi traders bar"" ""chandann sharma"" ""finance india"" itbees gold silver Fno ""swing trading"" ""share market India"" ""share market hindi"" ""Mutual Fund"" nse finance education motivation tbsm",UU-8iS3HDbVISnNzfj-S76xQ,https://yt3.ggpht.com/FTGX0hsFg9DbS1KbGPllPhYA0qo5WPDZx-V6ktk4HDn6QsYU5fins_1Uycel_rhkTaw0yMcRo0w=s800-c-k-c0x00ffffff-no-rj,Finance india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.632425+00:00
UC0Ti2YnfjuW1eysU-qXAzag,Neetu Tech Tips,Technology,14900,74147,57,14.08,150,6,1,1.01,8,https://www.youtube.com/channel/UC0Ti2YnfjuW1eysU-qXAzag,@neetutechtips,IN,India (IN) — target market,2016-10-13T04:08:02Z,9y 10m old,Core micro band (10k-80k),40.0,20.0,20.0,10.0,10.0,100.0,6,PASS,"Engagement 14.08%, score 100.0/100, 6 niche keyword hits","नमस्कार दोस्तों! 🙏
मैं हूँ Neetu — और यह है Neetu Tech Tips, आपका अपना हिंदी Tech Channel

मैंने यह channel इसलिए शुरू किया क्योंकि बहुत से लोग technology को complicated समझते हैं — लेकिन सच में ऐसा है नहीं। बस एक बार कोई सही तरीके से समझाए, तो सब आसान हो जाता है। वही काम मैं करती हूँ — बिल्कुल simple और अपनी भाषा में।

यहाँ आपको मिलेगा:

✅ Mobile & Computer के काम के Tips & Tricks
✅ YouTube, Instagram और Social Media Guides
✅ Apps & Software Reviews — जो सच में useful हों
✅ Internet Safety और Online Scam से बचने के तरीके
✅ नए Tech Products की सच्ची जानकारी

हर हफ्ते नए videos आते हैं — कोई extra बकवास नहीं, सीधे काम की बात।
━━━━━━━━━━━━━━━━━━━━━━━━━
📩 Business / Collaboration: neetutechtips@gmail.com
🌐 Website: https://neetutechtips.com
━━━━━━━━━━━━━━━━━━━━━━━━━
⚠️ Videos are for Educational & Informational Purpose only.
अगर आप भी Tech को आसान बनाना चाहते हैं — तो Subscribe करें और Bell 🔔 ज़रूर दबाएं, ताकि कोई भी video miss न हो!
","""Neetu Tech Tips"" NeetuTechTips ""Tech Tips"" ""Hindi Tech"" ""Tech Channel India"" ""Technology Hindi"" ""Android Tips"" ""Android Tricks"" ""Mobile Tips"" ""Smartphone Tips"" ""Phone Settings"" ""WhatsApp Tips"" ""Instagram Tips"" ChatGPT ""Resume Maker"" ""Online Fraud"" ""Banking Tips"" ""Computer Tips"" ""Windows Tips"" ""Laptop Tips"" ""YouTube Tips"" ""Punjab Updates"" ""Online Apply"" ""Ration Card"" ""Aadhaar Card"" ""PAN Card"" ""Residence Certificate"" ""Birth Certificate"" ""SC Certificate"" DigiLocker ""Mobile Apps"" ""Tech Shorts""",UU0Ti2YnfjuW1eysU-qXAzag,https://yt3.ggpht.com/s53ONCkis6PbhPogw5EwYWsyeHs96ni4UygKNkbId8vEJepXo-o4NK-RlMb3eKNibnYQE7cY8A=s800-c-k-c0x00ffffff-no-rj,Technology india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.633779+00:00
UCyWNeJl48t3gn0QZDjyyEJQ,IndianGaming_Official,Gaming,58100,10334386,2851,6.17,2479,114,14,4.27,8,https://www.youtube.com/channel/UCyWNeJl48t3gn0QZDjyyEJQ,@indiangaming_official,IN,India (IN) — target market,2018-08-22T06:25:29Z,8y 0m old,Core micro band (10k-80k),40.0,20.0,17.78,10.0,10.0,97.78,4,PASS,"Engagement 6.17%, score 97.8/100, 4 niche keyword hits","Hi, We Are On IndianGaming_Official Channel, And I Am Sk Maijul. In This Channel, You Get All Types Of Gaming Updates And Android Gameplay. IndianGaming_Official Channel Is The Best Indian Mobile Gaming Channel Because We Get All New Games Gameplay And News. We Provide Two Videos Daily To You In Our Local Hindi Language. My Aim Is To Provide The Best Gaming Quality Content. We Try To Cover The Most Of Famous or- Famous Android Games.

For Only Business Inquiries-sk.maijul786@gmail.com
","""indian gaming"" ""gaming news"" ""daily gaming news"" ""android gameplay"" ""android gaming update"" ""gaming updates"" ""indian gaming channel"" ""gaming updates"" ""android gaming updates"" ""indian gaming android"" indiangaming ""latest android games"" ""android gameplay series"" ""Indian Gaming"" ""Indian Gaming Channel"" indiangaming_official ""indiangaming official""",UUyWNeJl48t3gn0QZDjyyEJQ,https://yt3.ggpht.com/8_PfLgqYdhhcOSD1zq5s2tl3RvnV1xRiKMEJIS2WEPSDt8cxPwMFvCLsluY5d0VmnbOyJGHvCQ=s800-c-k-c0x00ffffff-no-rj,Gaming india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.626040+00:00
UCoBanxw5h6zegkziq0Sw_tg,Fitness Boy Sonu,Fitness,31900,11635516,423,4.69,11952,428,19,37.47,8,https://www.youtube.com/channel/UCoBanxw5h6zegkziq0Sw_tg,@fitnessboysonu25,IN,India (IN) — target market,2024-10-28T07:18:33.973529Z,1y 10m old,Core micro band (10k-80k),37.52,20.0,20.0,10.0,10.0,97.52,5,PASS,"Engagement 4.69%, score 97.5/100, 5 niche keyword hits","Welcome to Fitness Boy Sonu From Bareilly📍

I transformed from 40kg ➝ 63kg and now I help skinny beginners build muscle naturally.

On this channel you’ll get:
• Weight Gain Tips
• Muscle Building Workouts (Home & Gym)
• Diet Plans for Skinny Guys
• Real Transformation Guidance

📩 For Business & Collaborations:
fitnessboysonu.business@gmail.com

Let’s build a stronger version of you 🔥","""Fitness boy sonu"" ""fitness boy"" ""fitness sonu"" sonu fitness gym workout ""desi workout""",UUoBanxw5h6zegkziq0Sw_tg,https://yt3.ggpht.com/zblg0ffip3choSFVQxjApg9QvjUkATBXtC8vBE97BfS3GM9ay5BJ5NdQxobbbH0DwICnZ1Xp=s800-c-k-c0x00ffffff-no-rj,Fitness india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.632425+00:00
UCv_-7LGbowhcPF_1HXJgoQg,Indian Stock Trader,Finance,51500,4586612,1429,7.1,2428,121,15,4.72,8,https://www.youtube.com/channel/UCv_-7LGbowhcPF_1HXJgoQg,@indianstocktrader,IN,India (IN) — target market,2021-07-18T04:38:14.328849Z,5y 1m old,Core micro band (10k-80k),40.0,20.0,16.0,10.0,10.0,96.0,4,PASS,"Engagement 7.10%, score 96.0/100, 4 niche keyword hits","Welcome to Indian Stock Trader YouTube Channel,

This channel will give you a best knowledge about stock market and will make your trading easier.

Here we learn about technical analysis, price action, Option trading, money management, trading psychology and a lot of things which you may not have seen anywhere.

Also we post nifty and banknifty analysis videos daily for learning purpose so hit the subscribe button and press the bell icon to get our latest video notification.

Disclaimer: This channel is for educational purpose so learn first and trade later. Before taking any decision consult your financial advisor.

#indianstocktrader 

For Business inquires :
indianstocktrader.info@gmail.com
","""indian stock trader"" indianstocktrader hindi ""stock market"" nifty banknifty ""nifty prediction"" ""banknifty prediction"" ""kal market kaisa rahega"" ""kal market upar jayega ya niche"" ""nifty prediction for tomorrow"" ""nifty tomorrow"" ""nifty 50 tomorrow prediction"" ""banknifty analysis for tomorrow"" ""nifty banknifty analysis"" ""nifty and banknifty tomorrow"" ""share market news"" ""banknifty tomorrow"" ""banknifty prediction for tomorrow"" ""nifty kal kya hoga"" ""banknifty kal kya hoga""",UUv_-7LGbowhcPF_1HXJgoQg,https://yt3.ggpht.com/O2Y31uUomb-BdqsZW54sJaVQuTqyv9x9ddy8l_2vplJOxpCGtsTBKRZyIQg9S9D3lDp4osu6_w=s800-c-k-c0x00ffffff-no-rj,Finance india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.632425+00:00
UCkfZs7raLc0GEcmwBeOB96A,Agent 47 Gaming India,Gaming,90100,9690233,141,9.2,29476,2549,134,32.72,8,https://www.youtube.com/channel/UCkfZs7raLc0GEcmwBeOB96A,@agent47gamingindia,IN,India (IN) — target market,2020-11-18T06:10:56.828646Z,5y 9m old,Upper micro band (> 80k),40.0,20.0,20.0,10.0,5.0,95.0,6,PASS,"Engagement 9.20%, score 95.0/100, 6 niche keyword hits"," আমি একজন বাঙালি  ❤️

Hey Guys, Agent 47 Gaming India aka Anuruddha Das is here, Welcome To The Channel , I hope you enjoy the best Android Mobile & iOS Games including BattleGround Mobile India , CALL OF DUTY MOBILE and Others , I'm putting my best to entertain you all with some skills and little bit of editing of my Gameplay.

Instagram - agent_47_gi
 

","""pubg velocity montage"" ""best edited pubg montage"" ""viral pubg montage"" ""smooth pubg montage"" ""best amv edits"" ""lovely pubg montage"" ""best ever pubg montage"" ""Chikni chameli montage"" ""pubg india"" ""M4 fool pubg"" ""pubg upgradable guns"" ""pubg montage"" ""Agent 47 Gaming India"" ""pubg mobile"" ""pubg game"" ""pubg keywords for youtube"" ""free royal pass"" ""pung live"" crate ""pubg crate opening"" ""Youtube Banner"" ""Blood Raven"" BGMI ""kinemaster tutorial"" ""montage tutorial"" ""Bgmi gameplay"" ""Bgmi montage""",UUkfZs7raLc0GEcmwBeOB96A,https://yt3.ggpht.com/TfOkNq7yPBxHAWkGYBBo6P-54VzQY68y4xX7jUp0eZIV8LnCFYle3Ib5YPc6utSML0SyEC7C3g=s800-c-k-c0x00ffffff-no-rj,Gaming india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.622663+00:00
UCbj6Q10qzCzk4u88x0iFtXw,Atul tech tips,Technology,7660,6739413,98,7.01,552,20,0,7.21,8,https://www.youtube.com/channel/UCbj6Q10qzCzk4u88x0iFtXw,@atultechtips,IN,India (IN) — target market,2023-02-23T06:00:43.84556Z,3y 6m old,Nano band (< 10k),40.0,20.0,20.0,10.0,5.0,95.0,7,PASS,"Engagement 7.01%, score 95.0/100, 7 niche keyword hits","नमस्कार दोस्तों ! आप देख रहे हैं Atul tech tips YouTube Hindi Channel मैं हूँ  Atul Lagariya स्वागत करता हूँ आप सभी का I 
दोस्तों इस Channel पर आपको मिलेगी  कम्पुटर एवं मोबाइल से सम्बंधित सभी प्रकार की वीडियोज़ जिसमें  है -
1- Computer Software Solutions
2- Computer Technical Videos
3- Computer Tips & Tricks
4- Computer Technical 
5-CCTV Camera Technical 
6- Unboxing & Review
7-Computer Repairing Videos
8-Laptop Repairing Videos
9-Printer Repairing Videos

All Technical Videos of Computer & Mobile & Printer & CCTV Camera in Hindi Also Review & Unboxing Products.


Please Follow Me On 
Instagram :https://instagram.com/atullagariya5555?igshid=YmMyMTA2M2Y=

Every Week  3 Video Upload
","""ATUL TECH TIPS"" ""Atul tech tips"" ""atul tech tips"" ""tech atul"" ""atul tech"" ""tech tip atul""",UUbj6Q10qzCzk4u88x0iFtXw,https://yt3.ggpht.com/pMSXDalhkIZmCVaYIgKf-KRViRIMpHWTmp4k7C1z0GHl_ggjwBDupc7Jx9hpAD_JDkuKK7pe=s800-c-k-c0x00ffffff-no-rj,Technology india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.635888+00:00
UCDUkyORzLqZkDwRmenT8LMg,Clysera Skincare,Beauty,20300,2241987,76,4.32,4730,143,15,23.3,8,https://www.youtube.com/channel/UCDUkyORzLqZkDwRmenT8LMg,@clyseraskincare,IN,India (IN) — target market,2025-04-28T11:41:05.973094Z,1y 3m old,Core micro band (10k-80k),34.56,20.0,20.0,10.0,10.0,94.56,5,PASS,"Engagement 4.32%, score 94.6/100, 5 niche keyword hits","Skincare for women with dreams to chase, not hours to waste. 💖

I bring the timeless wisdom of Ayurvedic home remedies and traditional skincare into the modern era. My goal is to make ancient beauty secrets—like Haldi-Besan masks and rose water rituals—simple, clear, and accessible for everyone.
How I Create:
Each video is the result of deep personal research into traditional practices. I use AI-assisted technology (including synthetic narration and generated visuals) to help visualize these concepts and explain them in a soothing, easy-to-understand way. However, every script is manually researched and edited by me to ensure it provides real value to our community.
Join me as we explore natural ways to care for your skin, one home remedy at a time!

इस चैनल पर दी गई जानकारी केवल शैक्षिक उद्देश्यों के लिए है। किसी भी उपाय को आज़माने से पहले कृपया किसी विशेषज्ञ या डॉक्टर से सलाह लें। (Note: Information provided is for educational purposes only; consult a professional before use.)
","""Skincare for busy women"" ""quick skincare routines"" ""effective skincare solutions"" ""radiant skin"" ""healthy skin"" ""beauty tips for women on the go"" ""women’s skincare essentials"" ""time-saving skincare"" ""easy beauty routines"" ""skincare tips for busy lifestyles"" ""daily skincare products"" ""skincare for busy lifestyles"" ""self-care for women"" ""affordable skincare for busy women"" ""skin health tips"" ""beauty products for women"" ""skincare tutorials for busy women"" ""simple skincare solutions""",UUDUkyORzLqZkDwRmenT8LMg,https://yt3.ggpht.com/VzXXZh-nNPX7D3HZD_hm4XmpZumaKsAWVtDYmVtyCxRrDjXWSRnyyYpAIdai3Ij9uUuXezDB=s800-c-k-c0x00ffffff-no-rj,Beauty india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.633779+00:00
UCvlwQEP-g87E0CxTkxLQ46g,Baba Tech Review,Technology,87100,19638180,622,6.32,5949,313,25,6.83,8,https://www.youtube.com/channel/UCvlwQEP-g87E0CxTkxLQ46g,@babatechreview2024,IN,India (IN) — target market,2024-06-12T12:12:33.954937Z,2y 2m old,Upper micro band (> 80k),40.0,20.0,17.78,10.0,5.0,92.78,4,PASS,"Engagement 6.32%, score 92.8/100, 4 niche keyword hits","Laptop, Desktop Computer and Tech Products Detailed Review 

Doston! mai ummid karta hu ki aap hame hamare pahale channel 'PC Tech Talk' se jante honge jaha par aap sabhi ne Computer se related sabhi videos par bahut sara pyar diya jiske liye Thanks you so much!
is channel par computer and tech product ka full Detailed Review dekhne ko milega mai ummid karta hu ki is channel ko bhi aap sabhi log unta hi pyar denge. 
Thanks 

⚫ Email for Inquiry : babatechreview@gmail.com
","""Baba Tech Review"" ""sai techvision"" ""baba tech"" tech ""tech review""",UUvlwQEP-g87E0CxTkxLQ46g,https://yt3.ggpht.com/Qz-UXMsmxGFqCiPgqc0VwFkp7360fK2Kx3UgDSspdiTCBlhnTQWmXfA3xvghEiiXkDIoZuMIvQ=s800-c-k-c0x00ffffff-no-rj,Technology india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.622663+00:00
UCABOnJBVNC4hZIN3q70lw_g,Ganesh Sharma,Finance,83100,5115151,199,6.0,3997,221,34,4.81,8,https://www.youtube.com/channel/UCABOnJBVNC4hZIN3q70lw_g,@ganeshsharmaresearch,IN,India (IN) — target market,2025-09-29T08:42:45.885326Z,10m old (< 1 year),Upper micro band (> 80k),40.0,20.0,20.0,5.0,5.0,90.0,9,PASS,"Engagement 6.00%, score 90.0/100, 9 niche keyword hits","Welcome to Ganesh Sharma, where mathematics meets the financial markets.

This channel helps students, traders, investors, and finance enthusiasts understand financial markets through mathematics, probability, statistics, and data-driven analysis.

Topics include:
• Options Trading & Option Pricing
• Technical Analysis & Price Action
• Market Structure & Order Flow
• Market Microstructure
• Volatility & Option Greeks
• Risk Management
• Quantitative Analysis

Every lesson focuses on building conceptual understanding through logical reasoning and real-market examples.

⚠️ Educational Purpose Only
This channel is for educational and informational purposes only. Nothing published here should be considered investment advice, research recommendations, or a solicitation to buy or sell any financial instrument. Trading and investing involve risk. Always conduct your own research before making financial decisions.
","""mathematics of money"" ""stock market for beginners"" ""option trading explained"" ""investing in india"" ""wealth building strategies"" ""trading with mathematics"" ""nse bse trading basics"" ""stock market education"" ""financial literacy india"" ""trading psychology"" ""risk management stock market"" ""compound interest formula"" ""mutual funds sip india"" ""options premium greeks"" ""finance education channel"" ""money management tips"" ""stock market maths"" ""personal finance education"" ""wealth creation indi""",UUABOnJBVNC4hZIN3q70lw_g,https://yt3.ggpht.com/2RMi4Ryc-TsW1h_T6fI8OnuHxwV1TItGPc4BJ6YLhNsoOpM5z4NM3uXn4fDBnS7kgjfpmD9NW_8=s800-c-k-c0x00ffffff-no-rj,Finance india,2026-08-24T14:26:03.027910+00:00,2026-08-24T14:40:01.626040+00:00
