influencer_name,instagram_url,profile_url,niche,subscriber_count,instagram_dm,dm_word_count,dm_status,queued_at
Neetu Tech Tips,https://instagram.com/neetutechtips,https://www.youtube.com/channel/UC0Ti2YnfjuW1eysU-qXAzag,Technology,14900,"Hey Neetu, loved your KineMaster editing tutorials! Your tech content is so helpful. We're EDXSO and would love to chat about a potential UGC collaboration. Interested?",26,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
IndianGaming_Official,https://instagram.com/indiangaming___official,https://www.youtube.com/channel/UCyWNeJl48t3gn0QZDjyyEJQ,Gaming,58100,Loved your Rust Mobile beta videos! Your E-Cricket breakdown was super helpful too. We have a cool idea for a sponsored post relevant to your channel. DM if interested!,29,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Indian Stock Trader,https://instagram.com/indian__stock__trader,https://www.youtube.com/channel/UCv_-7LGbowhcPF_1HXJgoQg,Finance,51500,Just watched your Nifty Prediction! Your market insights are always spot-on. We have an exciting brand ambassador idea perfect for your finance content. Mind if I share details?,28,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Agent 47 Gaming India,https://instagram.com/agent_47_gi,https://www.youtube.com/channel/UCkfZs7raLc0GEcmwBeOB96A,Gaming,90100,"Your BGMI velocity edits are 🔥, especially the Marathi Thumka one! We're EDXSO and have a paid collab idea. DM us if you're curious!",24,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Atul tech tips,https://instagram.com/atullagariya5555,https://www.youtube.com/channel/UCbj6Q10qzCzk4u88x0iFtXw,Technology,7660,"Hey Atul, just watched your Gaming Keyboard Cleaning Kit video – super thorough! We're EDXSO and have a cool tech collaboration idea for you. Mind if I share details?",29,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Baba Tech Review,https://instagram.com/sanjay_sf,https://www.youtube.com/channel/UCvlwQEP-g87E0CxTkxLQ46g,Technology,87100,"Loved your '₹20,000 PC Build' short! Your budget tech insights are fantastic. We're EDXSO and have a cool ambassador idea to discuss. DM us?",24,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Ganesh Sharma,https://instagram.com/ganeshsharmafinanace,https://www.youtube.com/channel/UCABOnJBVNC4hZIN3q70lw_g,Finance,83100,"Loved your 'Risk Management' video, Ganesh! Your insights are always spot on. Curious if you're open to a quick chat about a potential collab?",24,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Tech Help India,https://instagram.com/techhelpindia,https://www.youtube.com/channel/UC-B4PgjW06Usp2TA5kpMGYw,Technology,14300,Loved your Itel Zeno F30 5G review! We're EDXSO and think an affiliate partnership could be a great fit for your tech content. Mind if we chat?,27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
MONSTER GAMING HINDI,https://instagram.com/anil_jakhar_monster,https://www.youtube.com/channel/UChsi4-eJdF2bmjFa9S8pHeA,Gaming,54500,Loved your JCB 3DX BUS SIMULATOR stream! We're EDXSO and think your gaming channel is awesome. Interested in a paid product placement? DM us!,24,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Future Tech India,https://instagram.com/flowbeats.in,https://www.youtube.com/channel/UC2wsWdbAf1MttEt2BLIRGcg,Technology,6200,Hey Future Tech India! Loved your Heera 7 Pro sound test – seriously impressive bass! We have an exciting sponsored integration idea. DM us if you're interested in chatting!,29,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Duker Gaming,https://instagram.com/ff_coach.ind,https://www.youtube.com/channel/UCXIVLR_H9r7mFwUZ4ppr_Ww,Gaming,86000,"Hey Duker! Loved your FFMIC analysis, especially the Aztec's decision breakdown. Your insights are sharp! We're EDXSO and have an exciting paid partnership idea. DM us if you're curious!",29,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
firoz techtips,https://instagram.com/sayedfiroz2024,https://www.youtube.com/channel/UC_KTuHL_GlE8U49sFRt6Lug,Technology,9910,"Your Outlier AI review was super helpful! We're EDXSO and have an affiliate opportunity for creators like you, focused on remote tech jobs. Interested in learning more?",27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Simran Skincare,https://instagram.com/simran__skincare,https://www.youtube.com/channel/UCBAdIUY4r-BWKjH4_agihUg,Beauty,7620,Loved your CeraVe honest review! Your content is so helpful. We're from EDXSO and have an exciting partnership idea. Mind if we share?,23,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
imtiaz Fitness Official ,https://instagram.com/imtiaz_fitness,https://www.youtube.com/channel/UC01CwHY8WguziPRocqxzDOw,Fitness,15000,"Hey Imtiaz, really enjoyed your video on weight loss myths and muscle building. We would love to sponsor an upcoming fitness tutorial. Are you open to discussing a quick collaboration?",30,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Hindi Gaming Ghost ,https://instagram.com/iamsahilyoutuber,https://www.youtube.com/channel/UC-gTA6TPbC836jExoJt4v3A,Gaming,63900,Loved your 'Jack Meets Subway Surfers Gang' video! Your mobile gaming content is awesome. We're EDXSO and have an exciting partnership idea. DM us if you're interested to learn more!,30,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
IGN India,https://instagram.com/ignindia,https://www.youtube.com/channel/UCt0t6IyAxXVvmXN1FRVu7CA,Gaming,52700,Loved your 16-minute preview of Mafia Old Country! We are launching an EDXSO Brand Ambassador Program for top Indian creators. Mind if I send details over email?,27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
O3+ Professional Skincare ,https://instagram.com/o3plusworld,https://www.youtube.com/channel/UCNXK9AGHNSg_lIJEnLhLceg,Beauty,34300,Loved your O3+ D-tan Serum video! Your skincare insights are fantastic. We're EDXSO and would love to chat about a potential partnership.,22,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Makeup By Jawaria,https://instagram.com/makeupbyjawaria,https://www.youtube.com/channel/UCalb6g67dB9uvbuiT6bTXFw,Beauty,64300,Loved your hooded eyes siren eyes tutorial! We are looking for creators to produce UGC content for our beauty brand. Would you be open to chatting?,26,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Skin Centrick | Science-Based Skincare,https://instagram.com/skincentrick,https://www.youtube.com/channel/UCZADYc7K-gkwsIF2pwo3PXA,Beauty,11200,Loved your recent video on plant stem cell serums! We have some new skincare essentials at EDXSO we would love to send your way for an honest review.,28,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Tech Mount India,https://instagram.com/tech_mount_india,https://www.youtube.com/channel/UCBiXLO3VBj7kBQt-OZj_ZbA,Technology,12200,Hey! Loved your Acer Nitro V 16 review and tech organizer video. We have some cool gear we'd love to send you for a review. Let's chat!,27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
BM Tech Tips,https://instagram.com/imbharatmakvana,https://www.youtube.com/channel/UCol5uTVP-lPuSO8e9Fqrtsw,Technology,73600,Loved your recent Redmi 12 5G unboxing and PC build videos! We would love to collaborate on a paid product placement. Let us know if you are interested.,28,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
TECH MOBILE INDIA,https://instagram.com/techmobileindia,https://www.youtube.com/channel/UC1tbwsIXAw8Hby1KRZY4zBQ,Technology,15700,"Hey Tech Mobile India, really liked your OnePlus and Realme flashing tutorials. Would love to chat about partnering with EDXSO for our brand ambassador program.",25,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Dhara's Yoga & Fitness,https://instagram.com/dharas_yogaandfitness,https://www.youtube.com/channel/UCdEUXDRVtQiVHyPEDuutlmg,Fitness,51000,Love your 6am daily yoga and fitness tutorials! We want to partner with you for some paid UGC content creation. Let me know if you are interested.,27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Kavita Patel Makeover | Makeup Educator,https://instagram.com/kavitapatelmakeover,https://www.youtube.com/channel/UCQ3sOw75LZz-aEusHBN4e_Q,Beauty,34100,Loved your latest monsoon makeup hacks video! We would love to send you some products for an honest review via a barter collaboration. Let me know if you are interested.,30,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Review Tech Brasil,https://instagram.com/lbertoline,https://www.youtube.com/channel/UCn-prABn666gVgnoTgyXgSw,Technology,22900,I really enjoyed your Galaxy Buds comparison video. Your technical breakdown was excellent. I am with EDXSO and would love to discuss a potential affiliate partnership with you.,28,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Personal Finance TV,https://instagram.com/personalfinancetv,https://www.youtube.com/channel/UCdqYxe31nwmfDdlnpLsYRiQ,Finance,19000,I really enjoyed your breakdown of the succession stories behind Gyandhara. Would you be open to chatting about a potential brand ambassador partnership for your channel?,26,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Personal Finance with Leila - Debt Over It,https://instagram.com/livinglikeleila,https://www.youtube.com/channel/UCMw07uiVxGULqePlrOZnx9A,Finance,65100,Loved your latest video on Fidelity funds! Your clear approach to investing is refreshing. Would you be open to discussing a potential sponsored integration for your channel?,27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
CA Rachana Ranade (Hindi),https://instagram.com/ca_rachanaranade,https://www.youtube.com/channel/UCD-qZSqFPqyx43L6gAR8qfQ,Finance,36800,Loved your recent analysis on the RBI swap scheme. I represent EDXSO and would love to discuss a potential brand ambassador partnership with you. Are you interested?,27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Personal Finance Club,https://instagram.com/personalfinanceclub,https://www.youtube.com/channel/UCqhRZnzfUig6jtRVtYpV7Eg,Finance,19400,Really enjoyed your take on the Ramsey method for buying a home. I am with EDXSO and would love to chat about a potential affiliate partnership. Interested?,27,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
School of Personal Finance ,https://instagram.com/richmccormack04,https://www.youtube.com/channel/UCJoM14_FRzdVAK4awLISSDA,Finance,70700,Really enjoyed your breakdown of the HSA benefits. I work with EDXSO and would love to discuss a potential sponsored integration for your channel. Interested?,25,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
Dipuji Tech Tips,https://instagram.com/dipuji811,https://www.youtube.com/channel/UCM7SESBzXZzq1Dyo3GMYXLw,Technology,78400,I really enjoyed your recent breakdown of the Facebook monetization updates. Would you be open to discussing a paid product placement opportunity on your channel?,25,QUEUED_FOR_MANUAL_SEND,2026-08-24T20:41:42.115599+00:00
